State,Yearly July 1st Estimates,Population
Missouri,2020,6151548
Missouri,,178104778
Montana,1990,800204
Montana,1991,809680
Montana,1992,825770
Montana,1993,844761
Montana,1994,861306
Montana,1995,876553
Montana,1996,886254
Montana,1997,889865
Montana,1998,892431
Montana,1999,897507
Montana,2000,903773
Montana,2001,906961
Montana,2002,911667
Montana,2003,919630
Montana,2004,930009
Montana,2005,940102
Montana,2006,952692
Montana,2007,964706
Montana,2008,976415
Montana,2009,983982
Montana,2010,990730
Montana,2011,997518
Montana,2012,1004168
Montana,2013,1014158
Montana,2014,1022657
Montana,2015,1031495
Montana,2016,1042137
Montana,2017,1053862
Montana,2018,1061818
Montana,2019,1070123
Montana,2020,1080577
Montana,,29343511
Nebraska,1990,1581660
Nebraska,1991,1595919
Nebraska,1992,1611687
Nebraska,1993,1625590
Nebraska,1994,1639041
Nebraska,1995,1656992
Nebraska,1996,1673740
Nebraska,1997,1686418
Nebraska,1998,1695816
Nebraska,1999,1704764
Nebraska,2000,1713820
Nebraska,2001,1719836
Nebraska,2002,1728292
Nebraska,2003,1738643
Nebraska,2004,1749370
Nebraska,2005,1761497
Nebraska,2006,1772693
Nebraska,2007,1783440
Nebraska,2008,1796378
Nebraska,2009,1812683
Nebraska,2010,1829591
Nebraska,2011,1840914
Nebraska,2012,1853691
Nebraska,2013,1865813
Nebraska,2014,1879955
Nebraska,2015,1892059
Nebraska,2016,1906483
Nebraska,2017,1916998
Nebraska,2018,1925512
Nebraska,2019,1932571
Nebraska,2020,1937552
Nebraska,,54829418
Nevada,1990,1220695
Nevada,1991,1296171
Nevada,1992,1351367
Nevada,1993,1411215
Nevada,1994,1499298
Nevada,1995,1581578
Nevada,1996,1666320
Nevada,1997,1764104
Nevada,1998,1853191
Nevada,1999,1934718
Nevada,2000,2018741
Nevada,2001,2098399
Nevada,2002,2173791
Nevada,2003,2248850
Nevada,2004,2346222
Nevada,2005,2432143
Nevada,2006,2522658
Nevada,2007,2601072
Nevada,2008,2653630
Nevada,2009,2684665
Nevada,2010,2702483
Nevada,2011,2713114
Nevada,2012,2744670
Nevada,2013,2776956
Nevada,2014,2818935
Nevada,2015,2868531
Nevada,2016,2919555
Nevada,2017,2972097
Nevada,2018,3030725
Nevada,2019,3090771
Nevada,2020,3138259
Nevada,,71134924
New Hampshire,1990,1112384
New Hampshire,1991,1109929
New Hampshire,1992,1117784
New Hampshire,1993,1129458
New Hampshire,1994,1142560
New Hampshire,1995,1157561
New Hampshire,1996,1174719
New Hampshire,1997,1189425
New Hampshire,1998,1205940
New Hampshire,1999,1222014
New Hampshire,2000,1239882
New Hampshire,2001,1255517
New Hampshire,2002,1269089
New Hampshire,2003,1279840
New Hampshire,2004,1290121
New Hampshire,2005,1298492
New Hampshire,2006,1308389
New Hampshire,2007,1312540
New Hampshire,2008,1315906
New Hampshire,2009,1316102
New Hampshire,2010,1316807
New Hampshire,2011,1320444
New Hampshire,2012,1324677
New Hampshire,2013,1327272
New Hampshire,2014,1334257
New Hampshire,2015,1337480
New Hampshire,2016,1343694
New Hampshire,2017,1350395
New Hampshire,2018,1355064
New Hampshire,2019,1360783
New Hampshire,2020,1366275
New Hampshire,,39184800
New Jersey,1990,7762963
New Jersey,1991,7814676
New Jersey,1992,7880508
New Jersey,1993,7948915
New Jersey,1994,8014306
New Jersey,1995,8083242
New Jersey,1996,8149596
New Jersey,1997,8218808
New Jersey,1998,8287418
New Jersey,1999,8359592
New Jersey,2000,8430621
New Jersey,2001,8492671
New Jersey,2002,8552643
New Jersey,2003,8601402
New Jersey,2004,8634561
New Jersey,2005,8651974
New Jersey,2006,8661679
New Jersey,2007,8677885
New Jersey,2008,8711090
New Jersey,2009,8755602
New Jersey,2010,8799451
New Jersey,2011,8828552
New Jersey,2012,8845671
New Jersey,2013,8857821
New Jersey,2014,8867277
New Jersey,2015,8870312
New Jersey,2016,8873584
New Jersey,2017,8888147
New Jersey,2018,8891730
New Jersey,2019,8891258
New Jersey,2020,8882371
New Jersey,,264186326
New Mexico,1990,1521574
New Mexico,1991,1555305
New Mexico,1992,1595442
New Mexico,1993,1636453
New Mexico,1994,1682398
New Mexico,1995,1720394
New Mexico,1996,1752326
New Mexico,1997,1774839
New Mexico,1998,1793484
New Mexico,1999,1808082
New Mexico,2000,1821204
New Mexico,2001,1831690
New Mexico,2002,1855309
New Mexico,2003,1877574
New Mexico,2004,1903808
New Mexico,2005,1932274
New Mexico,2006,1962137
New Mexico,2007,1990070
New Mexico,2008,2010662
New Mexico,2009,2036802
New Mexico,2010,2064614
New Mexico,2011,2080707
New Mexico,2012,2087715
New Mexico,2013,2092833
New Mexico,2014,2090236
New Mexico,2015,2090071
New Mexico,2016,2092555
New Mexico,2017,2092844
New Mexico,2018,2093754
New Mexico,2019,2099634
New Mexico,2020,2106319
New Mexico,,59053109
New York,1990,18020784
New York,1991,18122510
New York,1992,18246653
New York,1993,18374954
New York,1994,18459470
New York,1995,18524104
New York,1996,18588460
New York,1997,18656546
New York,1998,18755906
New York,1999,18882725
New York,2000,19001780
New York,2001,19082838
New York,2002,19137800
New York,2003,19175939
New York,2004,19171567
New York,2005,19132610
New York,2006,19104631
New York,2007,19132335
New York,2008,19212436
New York,2009,19307066
New York,2010,19399956
New York,2011,19499921
New York,2012,19574362
New York,2013,19626488
New York,2014,19653431
New York,2015,19657321
New York,2016,19636391
New York,2017,19593849
New York,2018,19544098
New York,2019,19463131
New York,2020,19336776
New York,,591076838
North Carolina,1990,6664016
North Carolina,1991,6784280
North Carolina,1992,6897214
North Carolina,1993,7042818
North Carolina,1994,7187398
North Carolina,1995,7344674
North Carolina,1996,7500670
North Carolina,1997,7656825
North Carolina,1998,7809121
North Carolina,1999,7949361
North Carolina,2000,8081614
North Carolina,2001,8210122
North Carolina,2002,8326201
North Carolina,2003,8422501
North Carolina,2004,8553152
North Carolina,2005,8705407
North Carolina,2006,8917270
North Carolina,2007,9118037
North Carolina,2008,9309449
North Carolina,2009,9449566
North Carolina,2010,9574586
North Carolina,2011,9658913
North Carolina,2012,9751810
North Carolina,2013,9846717
North Carolina,2014,9937295
North Carolina,2015,10037218
North Carolina,2016,10161802
North Carolina,2017,10275758
North Carolina,2018,10391358
North Carolina,2019,10501384
North Carolina,2020,10600823
North Carolina,,270667360
North Dakota,1990,637685
North Dakota,1991,635753
North Dakota,1992,638223
North Dakota,1993,641216
North Dakota,1994,644804
North Dakota,1995,647832
North Dakota,1996,650382
North Dakota,1997,649716
North Dakota,1998,647532
North Dakota,1999,644259
North Dakota,2000,642023
North Dakota,2001,639062
North Dakota,2002,638168
North Dakota,2003,638817
North Dakota,2004,644705
North Dakota,2005,646089
North Dakota,2006,649422
North Dakota,2007,652822
North Dakota,2008,657569
North Dakota,2009,664968
North Dakota,2010,674752
North Dakota,2011,685526
North Dakota,2012,702227
North Dakota,2013,723149
North Dakota,2014,738736
North Dakota,2015,755537
North Dakota,2016,756114
North Dakota,2017,756755
North Dakota,2018,760062
North Dakota,2019,763724
North Dakota,2020,765309
North Dakota,,20992938
Ohio,1990,10864162
Ohio,1991,10945762
Ohio,1992,11029431
Ohio,1993,11101140
Ohio,1994,11152454
Ohio,1995,11202751
Ohio,1996,11242827
Ohio,1997,11277357
Ohio,1998,11311536
Ohio,1999,11335454
Ohio,2000,11363543
Ohio,2001,11387404
Ohio,2002,11407889
Ohio,2003,11434788
Ohio,2004,11452251
Ohio,2005,11463320
Ohio,2006,11481213
Ohio,2007,11500468
Ohio,2008,11515391
Ohio,2009,11528896
Ohio,2010,11539449
Ohio,2011,11545735
Ohio,2012,11550971
Ohio,2013,11579692
Ohio,2014,11606573
Ohio,2015,11622315
Ohio,2016,11640060
Ohio,2017,11665706
Ohio,2018,11680892
Ohio,2019,11696507
Ohio,2020,11693217
Ohio,,353819154
Oklahoma,1990,3148825
Oklahoma,1991,3175440
Oklahoma,1992,3220517
Oklahoma,1993,3252285
Oklahoma,1994,3280940
Oklahoma,1995,3308208
Oklahoma,1996,3340129
Oklahoma,1997,3372917
Oklahoma,1998,3405194
Oklahoma,1999,3437147
Oklahoma,2000,3454365
Oklahoma,2001,3467100
Oklahoma,2002,3489080
Oklahoma,2003,3504892
Oklahoma,2004,3525233
Oklahoma,2005,3548597
Oklahoma,2006,3594090
Oklahoma,2007,3634349
Oklahoma,2008,3668976
Oklahoma,2009,3717572
Oklahoma,2010,3760014
Oklahoma,2011,3788824
Oklahoma,2012,3819320
Oklahoma,2013,3853891
Oklahoma,2014,3879187
Oklahoma,2015,3910518
Oklahoma,2016,3928143
Oklahoma,2017,3933602
Oklahoma,2018,3943488
Oklahoma,2019,3960676
Oklahoma,2020,3980783
Oklahoma,,111304302
Oregon,1990,2860375
Oregon,1991,2928507
Oregon,1992,2991755
Oregon,1993,3060367
Oregon,1994,3121264
Oregon,1995,3184369
Oregon,1996,3247111
Oregon,1997,3304310
Oregon,1998,3352449
Oregon,1999,3393941
Oregon,2000,3429708
Oregon,2001,3467937
Oregon,2002,3513424
Oregon,2003,3547376
Oregon,2004,3569463
Oregon,2005,3613202
Oregon,2006,3670883
Oregon,2007,3722417
Oregon,2008,3768748
Oregon,2009,3808600
Oregon,2010,3837614
Oregon,2011,3872672
Oregon,2012,3900102
Oregon,2013,3924110
Oregon,2014,3965447
Oregon,2015,4018542
Oregon,2016,4093271
Oregon,2017,4147294
Oregon,2018,4183538
Oregon,2019,4216116
Oregon,2020,4241507
Oregon,,111956419
Pennsylvania,1990,11903299
Pennsylvania,1991,11982164
Pennsylvania,1992,12049450
Pennsylvania,1993,12119724
Pennsylvania,1994,12166050
Pennsylvania,1995,12198403
Pennsylvania,1996,12220464
Pennsylvania,1997,12227814
Pennsylvania,1998,12245672
Pennsylvania,1999,12263805
Pennsylvania,2000,12284173
Pennsylvania,2001,12298970
Pennsylvania,2002,12331031
Pennsylvania,2003,12374658
Pennsylvania,2004,12410722
Pennsylvania,2005,12449990
Pennsylvania,2006,12510809
Pennsylvania,2007,12563937
Pennsylvania,2008,12612285
Pennsylvania,2009,12666858
Pennsylvania,2010,12711406
Pennsylvania,2011,12747052
Pennsylvania,2012,12769123
Pennsylvania,2013,12779538
Pennsylvania,2014,12792392
Pennsylvania,2015,12789838
Pennsylvania,2016,12788468
Pennsylvania,2017,12794679
Pennsylvania,2018,12809107
Pennsylvania,2019,12798883
Pennsylvania,2020,12783254
Pennsylvania,,386444018
Rhode Island,1990,1005995
Rhode Island,1991,1010649
Rhode Island,1992,1012581
Rhode Island,1993,1015112
Rhode Island,1994,1015960
Rhode Island,1995,1017002
Rhode Island,1996,1020893
Rhode Island,1997,1025353
Rhode Island,1998,1031155
Rhode Island,1999,1040402
Rhode Island,2000,1050268
Rhode Island,2001,1057142
Rhode Island,2002,1065995
Rhode Island,2003,1071342
Rhode Island,2004,1074579
Rhode Island,2005,1067916
Rhode Island,2006,1063096
Rhode Island,2007,1057315
Rhode Island,2008,1055003
Rhode Island,2009,1053646
Rhode Island,2010,1053994
Rhode Island,2011,1053829
Rhode Island,2012,1054893
Rhode Island,2013,1055560
Rhode Island,2014,1056511
Rhode Island,2015,1056886
Rhode Island,2016,1057816
Rhode Island,2017,1056554
Rhode Island,2018,1059338
Rhode Island,2019,1058158
Rhode Island,2020,1057125
Rhode Island,,32432068
South Carolina,1990,3501155
South Carolina,1991,3570404
South Carolina,1992,3620464
South Carolina,1993,3663314
South Carolina,1994,3705397
South Carolina,1995,3748582
South Carolina,1996,3796200
South Carolina,1997,3859696
South Carolina,1998,3919235
South Carolina,1999,3974682
South Carolina,2000,4024223
South Carolina,2001,4064995
South Carolina,2002,4107795
South Carolina,2003,4150297
South Carolina,2004,4210921
South Carolina,2005,4270150
South Carolina,2006,4357847
South Carolina,2007,4444110
South Carolina,2008,4528996
South Carolina,2009,4589872
South Carolina,2010,4635846
South Carolina,2011,4672655
South Carolina,2012,4719027
South Carolina,2013,4766469
South Carolina,2014,4826858
South Carolina,2015,4896006
South Carolina,2016,4963031
South Carolina,2017,5027102
South Carolina,2018,5091702
South Carolina,2019,5157702
South Carolina,2020,5218040
South Carolina,,134082773
South Dakota,1990,697101
South Dakota,1991,703669
South Dakota,1992,712801
South Dakota,1993,722159
South Dakota,1994,730790
South Dakota,1995,737925
South Dakota,1996,742213
South Dakota,1997,744223
South Dakota,1998,746058
South Dakota,1999,750412
South Dakota,2000,755844
South Dakota,2001,757972
South Dakota,2002,760020
South Dakota,2003,763729
South Dakota,2004,770396
South Dakota,2005,775493
South Dakota,2006,783033
South Dakota,2007,791623
South Dakota,2008,799124
South Dakota,2009,807067
South Dakota,2010,816193
South Dakota,2011,823740
South Dakota,2012,833859
South Dakota,2013,842751
South Dakota,2014,849670
South Dakota,2015,854663
South Dakota,2016,863693
South Dakota,2017,873732
South Dakota,2018,879386
South Dakota,2019,887127
South Dakota,2020,892717
South Dakota,,24469183
Tennessee,1990,4894492
Tennessee,1991,4966587
Tennessee,1992,5049742
Tennessee,1993,5137584
Tennessee,1994,5231438
Tennessee,1995,5326936
Tennessee,1996,5416643
Tennessee,1997,5499233
Tennessee,1998,5570045
Tennessee,1999,5638706
Tennessee,2000,5703719
Tennessee,2001,5750789
Tennessee,2002,5795918
Tennessee,2003,5847812
Tennessee,2004,5910809
Tennessee,2005,5991057
Tennessee,2006,6088766
Tennessee,2007,6175727
Tennessee,2008,6247411
Tennessee,2009,6306019
Tennessee,2010,6355518
Tennessee,2011,6400298
Tennessee,2012,6455752
Tennessee,2013,6496943
Tennessee,2014,6544617
Tennessee,2015,6595354
Tennessee,2016,6651277
Tennessee,2017,6714748
Tennessee,2018,6778180
Tennessee,2019,6830325
Tennessee,2020,6886834
Tennessee,,185259279
Texas,1990,17056755
Texas,1991,17398005
Texas,1992,17759738
Texas,1993,18161612
Texas,1994,18564062
Texas,1995,18958751
Texas,1996,19340342
Texas,1997,19740317
Texas,1998,20157531
Texas,1999,20558220
Texas,2000,20944499
Texas,2001,21319622
Texas,2002,21690325
Texas,2003,22030931
Texas,2004,22394023
Texas,2005,22778123
Texas,2006,23359580
Texas,2007,23831983
Texas,2008,24309039
Texas,2009,24801761
Texas,2010,25241897
Texas,2011,25645504
Texas,2012,26084120
Texas,2013,26479646
Texas,2014,26963092
Texas,2015,27468531
Texas,2016,27914064
Texas,2017,28291024
Texas,2018,28624564
Texas,2019,28986794
Texas,2020,29360759
Texas,,716215214
Utah,1990,1731223
Utah,1991,1779780
Utah,1992,1836799
Utah,1993,1898404
Utah,1994,1960446
Utah,1995,2014177
Utah,1996,2067976
Utah,1997,2119784
Utah,1998,2165960
Utah,1999,2203482
Utah,2000,2244502
Utah,2001,2283715
Utah,2002,2324815
Utah,2003,2360137
Utah,2004,2401580
Utah,2005,2457719
Utah,2006,2525507
Utah,2007,2597746
Utah,2008,2663029
Utah,2009,2723421
Utah,2010,2775413
Utah,2011,2814797
Utah,2012,2854146
Utah,2013,2898773
Utah,2014,2938327
Utah,2015,2983626
Utah,2016,3044241
Utah,2017,3103540
Utah,2018,3155153
Utah,2019,3203383
Utah,2020,3249879
Utah,,77381480
Vermont,1990,564798
Vermont,1991,568606
Vermont,1992,572751
Vermont,1993,577748
Vermont,1994,583836
Vermont,1995,589002
Vermont,1996,593701
Vermont,1997,597239
Vermont,1998,600416
Vermont,1999,604683
Vermont,2000,609618
Vermont,2001,612223
Vermont,2002,615442
Vermont,2003,617858
Vermont,2004,619920
Vermont,2005,621215
Vermont,2006,622892
Vermont,2007,623481
Vermont,2008,624151
Vermont,2009,624817
Vermont,2010,625886
Vermont,2011,627197
Vermont,2012,626361
Vermont,2013,626603
Vermont,2014,625693
Vermont,2015,625810
Vermont,2016,624366
Vermont,2017,625132
Vermont,2018,624802
Vermont,2019,624046
Vermont,2020,623347
Vermont,,18923640
Virginia,1990,6216884
Virginia,1991,6301217
Virginia,1992,6414307
Virginia,1993,6509630
Virginia,1994,6593139
Virginia,1995,6670693
Virginia,1996,6750884
Virginia,1997,6829183
Virginia,1998,6900918
Virginia,1999,7000174
Virginia,2000,7105817
Virginia,2001,7198362
Virginia,2002,7286873
Virginia,2003,7366977
Virginia,2004,7475575
Virginia,2005,7577105
Virginia,2006,7673725
Virginia,2007,7751000
Virginia,2008,7833496
Virginia,2009,7925937
Virginia,2010,8024004
Virginia,2011,8102437
Virginia,2012,8187456
Virginia,2013,8255861
Virginia,2014,8315430
Virginia,2015,8367303
Virginia,2016,8417651
Virginia,2017,8471011
Virginia,2018,8510920
Virginia,2019,8556642
Virginia,2020,8590563
Virginia,,233181174
Washington,1990,4903043
Washington,1991,5025624
Washington,1992,5160757
Washington,1993,5278842
Washington,1994,5375161
Washington,1995,5481027
Washington,1996,5569753
Washington,1997,5674747
Washington,1998,5769562
Washington,1999,5842564
Washington,2000,5910512
Washington,2001,5985722
Washington,2002,6052349
Washington,2003,6104115
Washington,2004,6178645
Washington,2005,6257305
Washington,2006,6370753
Washington,2007,6461587
Washington,2008,6562231
Washington,2009,6667426
Washington,2010,6743009
Washington,2011,6827479
Washington,2012,6898599
Washington,2013,6966252
Washington,2014,7057531
Washington,2015,7167287
Washington,2016,7299961
Washington,2017,7427951
Washington,2018,7526793
Washington,2019,7614024
Washington,2020,7693612
Washington,,195854223
West Virginia,1990,1792548
West Virginia,1991,1798735
West Virginia,1992,1806451
West Virginia,1993,1817539
West Virginia,1994,1820421
West Virginia,1995,1823700
West Virginia,1996,1822808
West Virginia,1997,1819113
West Virginia,1998,1815609
West Virginia,1999,1811799
West Virginia,2000,1807021
West Virginia,2001,1801481
West Virginia,2002,1805414
West Virginia,2003,1812295
West Virginia,2004,1816438
West Virginia,2005,1820492
West Virginia,2006,1827912
West Virginia,2007,1834052
West Virginia,2008,1840310
West Virginia,2009,1847775
West Virginia,2010,1854265
West Virginia,2011,1856606
West Virginia,2012,1857446
West Virginia,2013,1854768
West Virginia,2014,1850569
West Virginia,2015,1843332
West Virginia,2016,1832435
West Virginia,2017,1818683
West Virginia,2018,1805953
West Virginia,2019,1795263
West Virginia,2020,1784787
West Virginia,,56496020
Wisconsin,1990,4904562
Wisconsin,1991,4964343
Wisconsin,1992,5025398
Wisconsin,1993,5084889
Wisconsin,1994,5133678
Wisconsin,1995,5184836
Wisconsin,1996,5229986
Wisconsin,1997,5266213
Wisconsin,1998,5297672
Wisconsin,1999,5332666
Wisconsin,2000,5373999
Wisconsin,2001,5406835
Wisconsin,2002,5445162
Wisconsin,2003,5479203
Wisconsin,2004,5514026
Wisconsin,2005,5546166
Wisconsin,2006,5577655
Wisconsin,2007,5610775
Wisconsin,2008,5640996
Wisconsin,2009,5669264
Wisconsin,2010,5690538
Wisconsin,2011,5705840
Wisconsin,2012,5720825
Wisconsin,2013,5738012
Wisconsin,2014,5753199
Wisconsin,2015,5762927
Wisconsin,2016,5775170
Wisconsin,2017,5793147
Wisconsin,2018,5809319
Wisconsin,2019,5824581
Wisconsin,2020,5832655
Wisconsin,,170094537
Wyoming,1990,453690
Wyoming,1991,459260
Wyoming,1992,466251
Wyoming,1993,473081
Wyoming,1994,480283
Wyoming,1995,485160
Wyoming,1996,488167
Wyoming,1997,489451
Wyoming,1998,490787
Wyoming,1999,491780
Wyoming,2000,494300
Wyoming,2001,494657
Wyoming,2002,500017
Wyoming,2003,503453
Wyoming,2004,509106
Wyoming,2005,514157
Wyoming,2006,522667
Wyoming,2007,534876
Wyoming,2008,546043
Wyoming,2009,559851
Wyoming,2010,564531
Wyoming,2011,567491
Wyoming,2012,576656
Wyoming,2013,582620
Wyoming,2014,583159
Wyoming,2015,586389
Wyoming,2016,585243
Wyoming,2017,579994
Wyoming,2018,579054
Wyoming,2019,580116
Wyoming,2020,582328
Wyoming,,16324618
,,9111858979
